Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
HISTO_ZL.Contig1131.genewise.85.final_new_mrna	0.000	No mitochondrial presequence	42(MPP)	-0.167	7-11	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig296-snap.27.final_new_mrna	0.005	No mitochondrial presequence	56(MPP)	0.000	17-21	14-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LG.Contig392.Fgenesh_histo.69.final_new_mrna	0.084	No mitochondrial presequence	49(MPP)	0.102	80-84	3-14-low	-	-	-	-	-	-	-	-	14-19	-	-	-	-	-	
HISTO_DM.Contig933.Fgenesh_histo.53.final_new_mrna	0.284	No mitochondrial presequence	6(MPP)	0.167	3-7	2-12-high	-	-	-	-	-	-	-	-	-	-	-	2-7	3-8	-	
HISTO_GL.Contig59.eannot.1239.final_new_mrna	0.015	No mitochondrial presequence	81(MPP)	0.012	78-82,82-86	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FX.Contig167.genewise.50.final_new_mrna	0.014	No mitochondrial presequence	69(MPP)	-0.043	24-28	20-29-high	-	-	-	-	-	-	-	-	-	-	-	23-28	24-29	-	
HISTO_KF.Contig597.Fgenesh_histo.56.final_new_mrna	0.000	No mitochondrial presequence	45(MPP)	0.022	48-52	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig601-snap.60.final_new_mrna	0.007	No mitochondrial presequence	15(MPP)	0.133		14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GI.Contig382.Fgenesh_histo.63.final_new_mrna	0.000	No mitochondrial presequence	57(MPP)	-0.035	1-5	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1158.Fgenesh_histo.67.final_new_mrna	0.809	Possessing mitochondrial presequence	24(MPP)	0.375	21-25	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.eannot.2106.final_new_mrna	0.276	No mitochondrial presequence	85(MPP)	0.082		12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.Fgenesh_histo.68.final_new_mrna	0.006	No mitochondrial presequence	33(MPP)	0.000		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_CU.Contig66f.Fgenesh_Aspergillus.1.final_new_mrna	0.000	No mitochondrial presequence	75(MPP)	-0.160		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.Fgenesh_histo.261.final_new_mrna	0.950	Possessing mitochondrial presequence	48(MPP)	0.167	86-90	8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig296.Fgenesh_histo.65.final_new_mrna	0.006	No mitochondrial presequence	35(MPP)	0.200		9-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DF.Contig537.Fgenesh_Aspergillus.150.final_new_mrna	0.009	No mitochondrial presequence	20(MPP)	0.000	40-44,45-49	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.Fgenesh_Aspergillus.238.final_new_mrna	0.006	No mitochondrial presequence	12(MPP)	0.000		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.Fgenesh_histo.121.final_new_mrna	0.000	No mitochondrial presequence	61(MPP)	0.016	47-51	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig65.Fgenesh_Aspergillus.292.final_new_mrna	0.005	No mitochondrial presequence	13(MPP)	0.154		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig601.Fgenesh_histo.60.final_new_mrna	0.040	No mitochondrial presequence	13(MPP)	0.077		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.Fgenesh_histo.124.final_new_mrna	0.014	No mitochondrial presequence	16(MPP)	0.125		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.Fgenesh_Neurospora.46.final_new_mrna	0.000	No mitochondrial presequence	56(MPP)	0.000	73-77	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.Fgenesh_histo.208.final_new_mrna	0.707	Possessing mitochondrial presequence	9(MPP), 10(Icp55)	0.222	54-58	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JF.Contig157.Fgenesh_histo.7.final_new_mrna	0.000	No mitochondrial presequence	64(MPP)	0.047		5-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.eannot.1956.final_new_mrna	0.014	No mitochondrial presequence	44(MPP), 45(Icp55)	0.023	49-53	12-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1089.Fgenesh_histo.198.final_new_mrna	0.010	No mitochondrial presequence	20(MPP)	0.200	50-54	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161e.Fgenesh_histo.41.final_new_mrna	0.000	No mitochondrial presequence	24(MPP)	0.083		8-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZY.Contig562f.Fgenesh_histo.9.final_new_mrna	0.000	No mitochondrial presequence	35(MPP)	0.171	7-11	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131-snap.79.final_new_mrna	0.000	No mitochondrial presequence	36(MPP)	0.000	60-64	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_Aspergillus.111.final_new_mrna	0.451	Possessing mitochondrial presequence	20(MPP)	0.050		4-13-high	-	-	-	-	-	6-11,17-22	-	-	-	5-10,16-21	-	-	-	-	
HISTO_GY.Contig460-snap.165.final_new_mrna	0.000	No mitochondrial presequence	28(MPP)	0.000	66-70	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.eannot.1932.final_new_mrna	0.000	No mitochondrial presequence	26(MPP)	0.000		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig174.Fgenesh_histo.69.final_new_mrna	0.003	No mitochondrial presequence	29(MPP)	0.000	43-47	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZU.Contig65.fgenesh_plus.149.final_new_mrna	0.036	No mitochondrial presequence	26(MPP)	0.038	7-11,73-77	3-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig933-snap.159.final_new_mrna	0.043	No mitochondrial presequence	60(MPP)	-0.033		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BX.Contig20.Fgenesh_Neurospora.2.final_new_mrna	0.000	No mitochondrial presequence	25(MPP)	0.080	3-7	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GB.Contig114-snap.28.final_new_mrna	0.000	No mitochondrial presequence	87(MPP)	-0.138	1-5	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LG.Contig392.eannot.1688.final_new_mrna	0.032	No mitochondrial presequence	27(MPP), 28(Icp55)	0.074	16-20,74-78	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig94.Fgenesh_histo.5.final_new_mrna	0.003	No mitochondrial presequence	15(MPP), 16(Icp55)	0.000	42-46	16-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZE.Contig158.Fgenesh_Aspergillus.128.final_new_mrna	0.024	No mitochondrial presequence	27(MPP)	0.037		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68-snap.106.final_new_mrna	0.197	No mitochondrial presequence	19(MPP), 20(Icp55)	0.053	1-5	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459.Fgenesh_histo.191.final_new_mrna	0.000	No mitochondrial presequence	19(MPP)	0.053	38-42	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127b.Fgenesh_Neurospora.99.final_new_mrna	0.036	No mitochondrial presequence	7(MPP)	0.143	26-30	1-12-low	-	-	-	-	-	-	4-9	-	-	-	-	-	-	3-8	
HISTO_LF.Contig359.Fgenesh_histo.61.final_new_mrna	0.000	No mitochondrial presequence	43(MPP)	0.023	52-56	6-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DF.Contig537.Fgenesh_Neurospora.28.final_new_mrna	0.013	No mitochondrial presequence	15(MPP)	0.133		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GI.Contig382.genewise.65.final_new_mrna	0.000	No mitochondrial presequence	15(MPP)	0.067		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig320.Fgenesh_histo.30.final_new_mrna	0.000	No mitochondrial presequence	8(MPP)	0.375	42-46	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ER.Contig17.Fgenesh_Aspergillus.53.final_new_mrna	0.194	No mitochondrial presequence	47(MPP), 48(Icp55)	0.106	4-8	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.eannot.1876.final_new_mrna	0.000	No mitochondrial presequence	46(MPP)	0.000	43-47	19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig933.Fgenesh_Aspergillus.157.final_new_mrna	0.013	No mitochondrial presequence	34(MPP)	0.029		16-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig601.Fgenesh_histo.125.final_new_mrna	0.009	No mitochondrial presequence	23(MPP)	0.000	20-24	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BI.Contig285.Fgenesh_Aspergillus.21.final_new_mrna	0.000	No mitochondrial presequence	8(MPP)	-0.375	10-14,50-54,91-95	19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig933.Fgenesh_histo.77.final_new_mrna	0.000	No mitochondrial presequence	21(MPP)	0.000		18-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZE.Contig158.fgenesh_plus.30.final_new_mrna	0.000	No mitochondrial presequence	35(MPP)	0.057	62-66	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.Fgenesh_histo.72.final_new_mrna	0.014	No mitochondrial presequence	18(MPP)	0.056		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZE.Contig149.Fgenesh_histo.16.final_new_mrna	0.003	No mitochondrial presequence	27(MPP)	0.037		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig174.eannot.1473.final_new_mrna	0.000	No mitochondrial presequence	45(MPP)	0.133	74-78	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig206.eannot.1571.final_new_mrna	0.060	No mitochondrial presequence	36(MPP)	0.028	55-59	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161b.Fgenesh_histo.65.final_new_mrna	0.009	No mitochondrial presequence	10(MPP)	0.300	66-70	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BI.Contig285.Fgenesh_histo.27.final_new_mrna	0.053	No mitochondrial presequence	31(MPP)	0.097	10-14	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161c.Fgenesh_Aspergillus.22.final_new_mrna	0.031	No mitochondrial presequence	23(MPP)	0.130	68-72	12-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.Fgenesh_histo.3.final_new_mrna	0.008	No mitochondrial presequence	91(MPP)	0.022		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_Aspergillus.10.final_new_mrna	0.000	No mitochondrial presequence	33(MPP)	-0.121		16-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1158-snap.44.final_new_mrna	0.000	No mitochondrial presequence	9(MPP), 10(Icp55)	0.111	6-10,14-18	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.eannot.2126.final_new_mrna	0.000	No mitochondrial presequence	46(MPP)	-0.196	88-92	15-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig658.eannot.1257.final_new_mrna	0.000	No mitochondrial presequence	24(MPP)	0.125		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig296.eannot.1434.final_new_mrna	0.000	No mitochondrial presequence	54(MPP), 55(Icp55)	0.037	52-56	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.Fgenesh_Aspergillus.120.final_new_mrna	0.003	No mitochondrial presequence	6(MPP)	0.833		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FX.Contig167.fgenesh_plus.13.final_new_mrna	0.000	No mitochondrial presequence	20(MPP)	0.050	17-21,48-52,87-91	20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig601.eannot.1347.final_new_mrna	0.000	No mitochondrial presequence	51(MPP)	-0.098		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127b.Fgenesh_histo.87.final_new_mrna	0.156	No mitochondrial presequence	20(MPP)	0.150	37-41,40-44	21-30-low	-	-	-	-	-	-	-	-	-	-	7-12	-	-	-	
HISTO_IAB.Contig16f.Fgenesh_Aspergillus.2.final_new_mrna	0.308	No mitochondrial presequence	12(MPP)	0.083	15-19,18-22,58-62	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.Fgenesh_Neurospora.164.final_new_mrna	0.013	No mitochondrial presequence	20(MPP)	0.050		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KK.Contig134.Fgenesh_histo.19.final_new_mrna	0.114	No mitochondrial presequence	28(MPP)	0.107	38-42	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_KF.Contig601.eannot.1259.final_new_mrna	0.000	No mitochondrial presequence	42(MPP)	0.024		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127c.Fgenesh_histo.12.final_new_mrna	0.004	No mitochondrial presequence	12(MPP), 13(Icp55)	-0.083	28-32,43-47,86-90	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.Fgenesh_histo.192.final_new_mrna	0.116	No mitochondrial presequence	13(MPP)	0.231		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZY.Contig562f.Fgenesh_Aspergillus.10.final_new_mrna	0.015	No mitochondrial presequence	32(MPP)	0.031	81-85	12-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33-snap.171.final_new_mrna	0.000	No mitochondrial presequence	75(MPP), 76(Icp55)	0.013	28-32,56-60,90-94	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ER.Contig17-snap.3.final_new_mrna	0.000	No mitochondrial presequence	43(MPP)	0.000		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DU.Contig204.Fgenesh_histo.3.final_new_mrna	0.000	No mitochondrial presequence	47(MPP)	-0.043		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.fgenesh_plus.65.final_new_mrna	0.215	No mitochondrial presequence	70(MPP)	-0.029		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GY.Contig460.Fgenesh_Aspergillus.104.final_new_mrna	0.011	No mitochondrial presequence	11(MPP)	0.455		9-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127c.Fgenesh_histo.43.final_new_mrna	0.100	No mitochondrial presequence	25(MPP)	0.240	22-26	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LG.Contig392.fgenesh_plus.37.final_new_mrna	0.003	No mitochondrial presequence	28(MPP)	0.036	18-22,95-99	13-22-low	-	-	-	-	-	-	-	-	-	-	-	17-22	-	-	
HISTO_EA.Contig33.Fgenesh_Neurospora.182.final_new_mrna	0.000	No mitochondrial presequence	55(MPP)	0.000	62-66,80-84	2-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig207-snap.31.final_new_mrna	0.000	No mitochondrial presequence	15(MPP)	0.067		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GI.Contig363.Fgenesh_Aspergillus.52.final_new_mrna	0.016	No mitochondrial presequence	35(MPP)	0.057	96-100	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161e.Fgenesh_histo.22.final_new_mrna	0.000	No mitochondrial presequence	19(MPP)	0.105		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.eannot.2004.final_new_mrna	0.000	No mitochondrial presequence	29(MPP)	0.138		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DY.Contig31-snap.38.final_new_mrna	0.000	No mitochondrial presequence	24(MPP)	0.042	43-47	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LN.Contig13.Fgenesh_Aspergillus.4.final_new_mrna	0.000	No mitochondrial presequence	14(MPP)	0.143		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZF.Contig37.Fgenesh_Aspergillus.1.final_new_mrna	0.013	No mitochondrial presequence	31(MPP)	0.065	20-24,32-36,55-59	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.Fgenesh_histo.191.final_new_mrna	0.000	No mitochondrial presequence	26(MPP)	-0.115	50-54,72-76	16-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161e-snap.39.final_new_mrna	0.523	Possessing mitochondrial presequence	22(MPP)	0.318	52-56,67-71	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33.eannot.1630.final_new_mrna	0.990	Possessing mitochondrial presequence	59(MPP), 60(Icp55)	0.136	2-6,80-84	4-13-low	-	-	-	-	-	-	-	-	-	-	-	1-6	2-7	-	
HISTO_ER.Contig17.Fgenesh_histo.69.final_new_mrna	0.019	No mitochondrial presequence	26(MPP)	0.038		16-25-low	-	-	-	-	-	-	-	4-9	-	3-8	-	-	-	-	
HISTO_AZ.Contig47.eannot.1593.final_new_mrna	0.004	No mitochondrial presequence	16(MPP)	0.062	69-73	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig297.eannot.1521.final_new_mrna	0.017	No mitochondrial presequence	38(MPP)	0.132		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.Fgenesh_histo.132.final_new_mrna	0.000	No mitochondrial presequence	22(MPP)	0.000		7-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161d.Fgenesh_histo.95.final_new_mrna	0.223	No mitochondrial presequence	21(MPP)	0.190		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig320.Fgenesh_Aspergillus.4.final_new_mrna	0.000	No mitochondrial presequence	41(MPP)	0.000	57-61	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_CY.Contig28.genewise.1.final_new_mrna	0.058	No mitochondrial presequence	19(MPP)	0.053	16-20	14-23-high	-	-	-	-	-	-	-	-	-	-	-	15-20	-	-	
HISTO_JG.Contig206.Fgenesh_histo.87.final_new_mrna	0.046	No mitochondrial presequence	33(MPP)	0.061	87-91	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1128f.eannot.1121.final_new_mrna	0.060	No mitochondrial presequence	4(MPP)	0.250	1-5	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	1-6	-	
HISTO_KF.Contig597.eannot.1391.final_new_mrna	0.008	No mitochondrial presequence	13(MPP)	0.077		8-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_histo.124.final_new_mrna	0.187	No mitochondrial presequence	38(MPP)	0.158	21-25,65-69	16-25-high	-	-	-	-	-	-	-	-	-	-	-	20-25	-	-	
HISTO_DM.Contig933.Fgenesh_histo.13.final_new_mrna	0.026	No mitochondrial presequence	59(MPP)	0.119	19-23	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457.Fgenesh_histo.116.final_new_mrna	0.090	No mitochondrial presequence	10(MPP)	0.200		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_JG.Contig207.eannot.1375.final_new_mrna	0.000	No mitochondrial presequence	73(MPP)	-0.027		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GL.Contig303.eannot.1086.final_new_mrna	0.000	No mitochondrial presequence	40(MPP)	-0.100		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127b.Fgenesh_histo.6.final_new_mrna	0.000	No mitochondrial presequence	8(MPP)	0.125		21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1161c-snap.86.final_new_mrna	0.000	No mitochondrial presequence	52(MPP)	0.038		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig181.fgenesh_plus.6.final_new_mrna	0.003	No mitochondrial presequence	37(MPP)	0.000	39-43,67-71	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459.Fgenesh_Neurospora.24.final_new_mrna	0.003	No mitochondrial presequence	31(MPP)	0.065		11-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_EA.Contig33.Fgenesh_Aspergillus.138.final_new_mrna	0.037	No mitochondrial presequence	11(MPP), 19(Oct1)	0.182	58-62,87-91	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZA.Contig205.Fgenesh_Aspergillus.23.final_new_mrna	0.003	No mitochondrial presequence	8(MPP)	-0.125	54-58,78-82	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_CC.Contig38.genewise.12.final_new_mrna	0.000	No mitochondrial presequence	8(MPP)	0.000	24-28	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZY.Contig518.Fgenesh_histo.39.final_new_mrna	0.041	No mitochondrial presequence	38(MPP)	0.053	48-52	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_FE.Contig19.Fgenesh_histo.135.final_new_mrna	0.211	No mitochondrial presequence	20(MPP)	0.150	26-30,90-94	13-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DA.Contig93.eannot.2041.final_new_mrna	0.049	No mitochondrial presequence	31(MPP)	0.097	1-5,28-32	1-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_LF.Contig359.Fgenesh_Aspergillus.187.final_new_mrna	0.000	No mitochondrial presequence	57(MPP)	0.000		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_CQ.Contig57.Fgenesh_Aspergillus.1.final_new_mrna	0.004	No mitochondrial presequence	47(MPP)	0.000	57-61	11-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig181.Fgenesh_histo.98.final_new_mrna	0.600	Possessing mitochondrial presequence	26(MPP), 27(Icp55)	0.154	94-98	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_GX.Contig297.Fgenesh_Neurospora.22.final_new_mrna	0.000	No mitochondrial presequence	10(MPP)	0.200		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig68.Fgenesh_Aspergillus.257.final_new_mrna	0.000	No mitochondrial presequence	88(MPP)	0.068	37-41	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZZ.Contig127b.Fgenesh_histo.15.final_new_mrna	0.924	Possessing mitochondrial presequence	36(MPP)	0.250		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AL.Contig317.Fgenesh_histo.44.final_new_mrna	0.943	Possessing mitochondrial presequence	26(MPP)	0.231	72-76	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZL.Contig1131.eannot.1947.final_new_mrna	0.000	No mitochondrial presequence	11(MPP)	-0.182	75-79	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig459.Fgenesh_histo.175.final_new_mrna	0.048	No mitochondrial presequence	23(MPP)	-0.087		21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1089.Fgenesh_histo.79.final_new_mrna	0.005	No mitochondrial presequence	26(MPP)	-0.269		7-16-low	-	-	-	-	-	-	-	23-28	-	22-27	-	-	-	-	
HISTO_LG.Contig392.Fgenesh_histo.59.final_new_mrna	0.000	No mitochondrial presequence	77(MPP), 78(Icp55)	0.078	19-23	19-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_HS.Contig3.eannot.1012.final_new_mrna	0.000	No mitochondrial presequence	50(MPP)	0.000		17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ER.Contig17.genewise.69.final_new_mrna	0.000	No mitochondrial presequence	56(MPP)	0.000	68-72,88-92	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_AZ.Contig47.Fgenesh_Aspergillus.144.final_new_mrna	0.022	No mitochondrial presequence	12(MPP), 13(Icp55)	-0.083	71-75	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig936.Fgenesh_Neurospora.34.final_new_mrna	0.006	No mitochondrial presequence	22(MPP)	0.136		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_DM.Contig93.fgenesh_plus.9.final_new_mrna	0.016	No mitochondrial presequence	41(MPP)	0.098	11-15,38-42,42-46,65-69	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	11-16	-	
HISTO_AL.Contig317.Fgenesh_histo.53.final_new_mrna	0.003	No mitochondrial presequence	26(MPP)	0.038		4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_ZT.Contig1089.Fgenesh_histo.43.final_new_mrna	0.000	No mitochondrial presequence	50(MPP)	0.140		11-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
HISTO_BP.Contig457.fgenesh_plus.113.final_new_mrna	0.009	No mitochondrial presequence	24(MPP)	0.083		15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
